Category,Size,Installs,Minimum Android,Rating Count,Rating
Simulation,36M,"50,000+",4.1 and up,87,3.6
Books & Reference,29M,"50,000+",4.0 and up,129,4.6
Shopping,2.1M,100+,4.4 and up,0,0
Shopping,5.2M,1+,2.1 and up,0,0
Music & Audio,24M,500+,4.2 and up,72,4.9
Personalization,4.1M,"1,000+",4.0.3 and up,0,0
Music & Audio,18M,"1,000+",4.1 and up,6,3.7
Entertainment,20M,"5,000,000+",5.0 and up,22803,3.7
Shopping,3.8M,100+,4.0.3 and up,0,0
Lifestyle,48M,1+,5.0 and up,0,0
Arcade,15M,10+,4.1 and up,0,0
Finance,3.7M,"1,000+",4.0.3 and up,77,4.2
Lifestyle,11M,100+,4.1 and up,0,0
Personalization,24M,"10,000+",4.0.3 and up,54,4.1
Card,2.8M,"10,000+",2.1 and up,101,3.9
Education,2.5M,100+,4.1 and up,0,0
Productivity,188k,"1,000+",2.2 and up,15,3.6
Food & Drink,9.4M,100+,4.1 and up,55,4.9
Sports,10M,"10,000+",4.1 and up,86,4.2
Entertainment,46M,"10,000+",4.1 and up,177,3.2
Word,21M,"10,000+",4.0.3 and up,161,4.2
News & Magazines,24M,"5,000+",4.0.3 and up,46,3.9
Productivity,37M,"1,000+",4.4 and up,14,3.8
Lifestyle,3.9M,1+,5.0 and up,0,0
Puzzle,20M,"10,000+",4.0.3 and up,187,3.8
Entertainment,6.2M,500+,4.2 and up,8,4.2
Tools,Varies with device,100+,4.4 and up,0,0
Entertainment,5.3M,100+,4.1 and up,9,5
Education,2.3M,100+,4.1 and up,0,0
Education,4.5M,100+,4.4 and up,0,0
Books & Reference,4.1M,"1,000+",4.0 and up,0,0
Dating,4.7M,"10,000+",2.3.3 and up,283,3.6
Video Players & Editors,2.7M,50+,5.0 and up,19,4.8
Entertainment,50M,100+,4.0 and up,0,0
Food & Drink,28M,100+,4.1 and up,0,0
Personalization,13M,"5,000+",4.1 and up,23,4.1
Communication,Varies with device,50+,Varies with device,,
Casual,43M,10+,4.4 and up,6,5
Lifestyle,6.1M,500+,4.0.3 and up,44,5
Action,9.1M,100+,4.1 and up,19,4.8
Music & Audio,1.5M,50+,4.0 and up,0,0
Finance,15M,"100,000+",4.4 and up,1964,2.8
Health & Fitness,8.3M,50+,4.4 and up,0,0
Medical,11M,1+,4.4 and up,0,0
Lifestyle,26M,"500,000+",4.1 and up,3993,4
Educational,14M,10+,4.2 and up,0,0
Music & Audio,25M,"10,000+",4.1 and up,84,4.8
Lifestyle,14M,"10,000+",4.0.3 and up,33,4.8
Medical,17M,"10,000+",4.1 and up,104,4.4
Personalization,3.5M,100+,4.0.3 and up,0,0
Music & Audio,43M,500+,4.0.3 and up,0,0
Business,31M,100+,5.0 and up,0,0
Tools,5.9M,5+,5.0 and up,0,0
Lifestyle,9.0M,"5,000+",4.0 and up,25,3.5
Health & Fitness,5.4M,10+,4.1 and up,0,0
Business,17M,10+,4.0.3 and up,0,0
Food & Drink,17M,50+,5.0 and up,0,0
Tools,10M,10+,4.4 and up,0,0
Finance,13M,"5,000+",4.4 and up,34,4
Business,4.7M,5+,4.4 and up,0,0
Puzzle,19M,100+,4.1 and up,0,0
Music & Audio,32M,"10,000+",4.4 and up,351,4
Education,45M,10+,6.0 and up,0,0
Business,9.1M,50+,4.1 and up,0,0
Entertainment,19M,100+,4.0.3 and up,0,0
Books & Reference,3.5M,500+,4.1 and up,10,3.6
Education,14M,"50,000+",4.4 and up,107,3.5
Music & Audio,6.6M,"1,000+",4.1 and up,0,0
Weather,16M,"1,000+",4.1 and up,21,4.2
Food & Drink,6.5M,"50,000+",4.4 and up,620,3.5
Sports,5.6M,10+,4.4 and up,0,0
Strategy,31M,"1,000+",4.4 and up,0,0
Productivity,16M,"1,000+",4.4 and up,11,4.5
Photography,7.9M,"1,000+",4.4 and up,7,4.1
Travel & Local,35M,50+,4.4 and up,0,0
Health & Fitness,22M,100+,5.0 and up,0,0
